KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_8K0aT,"<color=#0088ff>It seems I can, Chief.</color>",,,,,,,,,,,,,,,,
dialogue_mmC00,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nI need an answer now. We have a cruiser coming in soon and I need all the Com Relays working.@w2\nCan you fix a com array or not? That's all I need to know.@p8\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Commander, I will handle the reconfiguration of the Communications Equipment.@w2</color>\n<color=#00e1ff>But I require you to be my eyes and hands for this task. The safety of the mission relies on you.</color>",,,,,,,,,,,,,,,,
dialogue_KKqF8,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nYou can? That's great!@w2\nI've been waiting on maintenance for a week to send someone over to take a look at the relay signals and find out what's been going wrong with the signalling cycle.@p9\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Commander, i'm aware that you aren't qualified with communications equipment, Polaris or otherwise.@w2 So I will handle the reconfiguration of the Communications Equipment.@w2</color>\n<color=#00e1ff>But I require <i>you</i> to be my eyes and hands for this task. The safety of our mission relies on you.</color>",,,,,,,,,,,,,,,,
dialogue_qWmeK,"<color=#0088ff>That's an affirmative, Chief. I'm pretty sure I can do it.</color>",,,,,,,,,,,,,,,,
dialogue_emi2u,"<color=#0088ff>So what exactly is the problem, Chief?</color>",,,,,,,,,,,,,,,,
dialogue_OqiGK,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nGlad to hear you can handle it!@w2\nFor the last week we've had degrading communication relays in this sector that's causing havoc with our relay systems.@p8\n<b><color=#ffae00>[ Coms Chief ]</color></b>\nYou see, this sector has a triangulation setup of communication relay satellites, <color=#ffae00>six</color> of them with Kenex in the middle.@w2 Together we collate transmission data from neighboring sectors, route it through the trading terminal, banking systems, everything, then beam it back into deep space for another repeater that sends it out to other systems.@p9\n<b><color=#ffae00>[ Coms Chief ]</color></b>\nThe problem is that <i>something </i>is interfering with the transmissions between the Com Relays in this sector.@w2\nIt could be an asteroid in the way, it could be a broken antenna, it could be sabotage or it could've just been some asshole could've just crashed into it and didn't report the collision.",,,,,,,,,,,,,,,,
dialogue_8mOue,<color=#0088ff>Com Relays?</color>,,,,,,,,,,,,,,,,
dialogue_BmWGm,<color=#0088ff>Sabotage?</color>,,,,,,,,,,,,,,,,
dialogue_uVa0g,<color=#0088ff>What's my job here then?</color>,,,,,,,,,,,,,,,,
dialogue_e4qk0,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nWhat about them?@w1\nThey're standard orbital stations with just the bare basics.@w2\nLife support, server rooms, data storage buffers and the system core.@w1 No defenses.",,,,,,,,,,,,,,,,
dialogue_aWKGK,<color=#0088ff>What about Sabotage?</color>,,,,,,,,,,,,,,,,
dialogue_qS8YS,<color=#0088ff>What's my job with them supposed to be then?</color>,,,,,,,,,,,,,,,,
dialogue_m00mO,"<color=#ffae00><b>[ Coms Chief ]</b></color>\nEvery so often some pirate bastards come around and try to siphon off banking data from the com relays.@w2\nIt's not possible, but that doesn't stop them from trying.@w4\nThe <i>real</i> problem is when they hang around to ambush the guys sent out to repair the relay.\nSo watch your ass, got it?",,,,,,,,,,,,,,,,
dialogue_axuUC,<color=#0088ff>Com Relays?</color>,,,,,,,,,,,,,,,,
dialogue_qaia8,<color=#0088ff>So what's my job out there then? Aside from avoiding pirates.</color>,,,,,,,,,,,,,,,,
dialogue_WCaOi,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nYour job out there is to check each relay for any signs of damage, inside <i>and </i>out and fix it if it's broken.@w3\nIf you don't have the materials to fix or bypass the problem area, you come back here, got it?@p8\n<b><color=#ffae00>[ Coms Chief ]</color></b>\nI'll be patched into your radio the whole time.@w3\nIf pirates <i>do </i>turn up, i'll call up a security patrol to back you up. It'll probably take a few minutes for them to reach you though, so you'll be on your own until they turn up.@p9\n<b><color=#ffae00>[ Coms Chief ]</color></b>\nYou have a ship right? Better get to it and make sure it's armed.@w1\nYou could run into anything out there, so it's best to be prepared.@w3\nAny questions?",,,,,,,,,,,,,,,,
dialogue_m0OWu,<color=#0088ff>None.</color>,,,,,,,,,,,,,,,,
dialogue_0iiGs,<color=#0088ff>How much am I getting paid for this job?</color>,,,,,,,,,,,,,,,,
dialogue_WuOK2,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nShould've already been listed on the contract you agreed to.@w4\nIt's 12,000 credits for the job, no medical or dental. If we have to relife your corpse because you screwed up, you'll be paying 2,000 out of your pay for the encoding and genotyping.@w2\nSo don't screw up.",,,,,,,,,,,,,,,,
dialogue_NeFhe,"<color=#0088ff>Okay, I guess i'm good to go.</color>",,,,,,,,,,,,,,,,
dialogue_S08qN,"<b><color=#ffae00>[ Coms Chief ]</color></b>\nI'll be monitoring your progress from here.@w2\n\nSo let's get to it then, shall we?",,,,,,,,,,,,,,,,
dialogue_vLf4u,<b><color=#c4c4c4>Head to the flight deck</color></b>,,,,,,,,,,,,,,,,
dialogue_eSaSe,<color=#0088ff><b>Mission: Message Interrupted</b></color>,,,,,,,,,,,,,,,,
dialogue_WaeW8,"<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>Alright IDA, Spill it!@w2</color>\n<color=#8ab3ff>What's going on with this job for Polaris?</color>@p8\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>It is a delicate situation, Commander.@w2</color>\n<color=#00e1ff>I would like you to confirm the condition of the Communication Relay satellites before I give you a definitive answer.@w3</color>\n<color=#00e1ff>I would prefer to avoid alarming you if possible.</color>@p9\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>Bull...shit.@w4</color>\n<color=#8ab3ff>You're up to something and you're not telling me because I wouldn't agree with whatever it is you're doing behind my back.</color>@p8\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>You've been steering me towards this station as soon as we heard about it and now the job that has nothing to do with finding the rest of the fleet!@w3</color>\n<color=#8ab3ff>What am I supposed to think?@w3 Were you infected with that Polaris malware they tried to slip you after all?@p9</color>\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Commander...@w2</color>\n<color=#00e1ff>I believe that I will be able to access Polaris' Secure Systems through their Communications Relay and obtain the secure data from their systems.@w2 That is why I had to undertake this mission for Polaris.</color>",,,,,,,,,,,,,,,,
dialogue_MSiO0,"<color=#0088ff>Is that the whole truth, IDA?</color>",,,,,,,,,,,,,,,,
dialogue_8aCi4,<color=#0088ff>Then why didn't you say so?</color>,,,,,,,,,,,,,,,,
dialogue_q84WO,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I am not lying to you, {PlayerName}.@w4</color>\n<color=#00e1ff>Accessing the Communications Relay is vital to the future@w2... for the both of us.</color>",,,,,,,,,,,,,,,,
dialogue_8SkaW,"<color=#0088ff>Alright, i'll do as you say. It's not like I have much of a choice.</color>",,,,,,,,,,,,,,,,
dialogue_i4Zu8,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I did not want to get your hopes up, {PlayerName}.@w3</color>\n<color=#00e1ff>There is a great deal of risk involved and I <i>do</i> have an ulterior motive in accessing the Com Relay system.@w2</color>\n<color=#00e1ff>But right now, neither of us have a choice.</color>",,,,,,,,,,,,,,,,
dialogue_NaKue,"<color=#0088ff>Alright, i'll do as you say. But I want a proper explanation sooner rather than later.</color>",,,,,,,,,,,,,,,,
dialogue_Ou88W,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I will explain myself properly, when I can confirm whether or not my plan to interface with one of the Com Relays is successful.</color>",,,,,,,,,,,,,,,,
dialogue_eGeKa,"<color=#0088ff>That'll have to do for now, I guess...</color>",,,,,,,,,,,,,,,,
dialogue_mmGOs,<b><color=#ffae00>Mission: Internal Inspection</color></b>,,,,,,,,,,,,,,,,
dialogue_0gqGe,<b><color=#ffae00>< Polaris Communication Relay 653 - FAOS_v22.1 ></color></b>@w5\n<b>Authenticating User @w2 . @w2 . @w2 . @w5 Authenticated </b><color=#ffffff>8376455466</color>\n<color=#fbff00>System Status</color>:@w2 <color=#0ced1b>Online</color>@w3\n<color=#ff0000>Data Loss</color>:@w2 <color=#0ced1b>1.2% (Normal)</color>@w3\n<color=#ff0000>Signal Modulation</color>:@w2 <color=#0ced1b>Pattern-1142B12/Pattern-2077A14</color>,,,,,,,,,,,,,,,,
dialogue_eiKGr,"<color=#0088ff>Looks like there's nothing wrong to me. How about you, IDA?</color>",,,,,,,,,,,,,,,,
dialogue_A8PhS,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I see no problems, Commander.@w2\nIf there's an issue with the incoming transmissions being relayed back to Kenex Station, then it must be from one of the other relay satellites.</color>@p9\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>The problem could be an issue with the Port Data Relays though. They may have been scrambled by a solar flare and wouldn't be registering on the incoming signals.</color>",,,,,,,,,,,,,,,,
dialogue_WGa0K,<color=#c4c4c4>Log off</color>,,,,,,,,,,,,,,,,
dialogue_wq8C4,<b><color=#ffae00>Mission: Internal Inspection</color></b>,,,,,,,,,,,,,,,,
dialogue_Ksa0q,<b><color=#ffae00>< Polaris Communication Relay 588 - FAOS_v22.1 ></color></b>@w5\n<b>Authenticating User @w2 . @w2 . @w2 . @w5 Authenticated </b><color=#ffffff>8376455466</color>\n<color=#fbff00>System Status</color>:@w2 <color=#0ced1b>Online</color>@w3\n<color=#ff0000>Data Loss</color>:@w2 <color=#ffae00>41.8% (Warning)</color>@w3\n<color=#ff0000>Signal Modulation</color>:@w2 <color=#0ced1b>Pattern-1167A22/Pattern-1911B28</color>,,,,,,,,,,,,,,,,
dialogue_KaGKm,"<color=#0088ff>There's a significant data loss being detected on this one. Can you trace the cause, IDA?</color>",,,,,,,,,,,,,,,,
dialogue_i00K0,"<b><color=#ffae00>[ Coms Chief ]</color></b>\n<color=#c4c4c4>So the problem's in 588?@w2\nCan you fix it?</color>@p7\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>I'll need to check the outgoing data relays and see if it's being sent by this relay or if the data loss is coming from one of the others through 588.@w2</color>\n<color=#8ab3ff>If it <i>isn't</i> 588, it should be possible to find which one it is without going to all six com relays.</color>",,,,,,,,,,,,,,,,
dialogue_mmmWQ,<color=#c4c4c4>Log off</color>,,,,,,,,,,,,,,,,
dialogue_jHKuq,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Not from here, Commander.@w2\nIt would be best to report it to the Coms Chief and check the Starboard Data Relays to see if it's being transmitted from this relay or if the data loss is incoming from another satellite.</color>",,,,,,,,,,,,,,,,
dialogue_0SGmM,"<color=#8ab3ff>Coms Chief, Come in. I've found significant data loss on 588.</color>",,,,,,,,,,,,,,,,
dialogue_CaaOe,<b><color=#ffae00>Mission: Core Inspection</color></b>,,,,,,,,,,,,,,,,
dialogue_Ka4Ki,"<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>I'm looking at four displays with lots of unencrypted data, I guess, streaming on their screens.@w3</color>\n<color=#8ab3ff>I can't make heads or tails of this,@w2 I don't think anyone could.</color>@p8\n<b><color=#ffae00>[ IDA ]</color></b>\n<color=#00e1ff>Don't worry, Commander. I can read the data, though it's difficult even for me with my current processing power to read.</color>",,,,,,,,,,,,,,,,
dialogue_OiSq8,"<color=#0088ff>You've brought that up before, IDA. What's wrong with your processing power?</color>",,,,,,,,,,,,,,,,
dialogue_ei48S,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>If you'll recall... When you first made contact with me, I told you that my processing speed was down by 36%.@w3</color>\n<color=#00e1ff>My processing speed is currently down by 59% and dropping steadily, Commander.@p8</color>\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>Why didn't you tell me sooner?@w1 I could've done something!@p5</color>\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>There's nothing you could've done, Commander.@w2</color>\n<color=#00e1ff>There is no way to repair my systems,@w2 the best I could manage was to get in contact with the rest of the UCH forces and hope they could reintegrate me with the primary I.D.A to preserve my data.@w5</color>\n<color=#00e1ff>It's too late for that now, Commander...@w3 It's too far...@p9</color>\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>My location has already been compromised.@w2 The zirax forces we've encountered were already aware of my capabilities and had been taking precautions to avoid detection.@w4</color>\n<color=#00e1ff>The only thing I can do now is help you find your way to the UCH.</color>",,,,,,,,,,,,,,,,
dialogue_CKinW,"<color=#0088ff>There's got to be some way to save you, IDA!</color>",,,,,,,,,,,,,,,,
dialogue_SuiqG,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Commander, i've identified the source of the bad transmission...@w3\nIt's Communications Relay 451.@w3\n\nI've added it to your display, Commander.</color>@p6\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>That doesn't matter, IDA!</color>@p4\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Finish the mission, {PlayerName}.@w2 Now.</color>",,,,,,,,,,,,,,,,
dialogue_GUiqW,<color=#0088ff>Affirmative...</color>,,,,,,,,,,,,,,,,
dialogue_0iGCS,<b><color=#ffae00>Mission: The Cruel Stars</color></b>,,,,,,,,,,,,,,,,
dialogue_Kaa0S,"<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>Looks like they haven't touched the core.@w2</color>\n<color=#8ab3ff>I don't think they even tried to get the door open.</color>@p8\n<b><color=#ffae00>[ Coms Chief ]</color></b>\n<color=#c4c4c4>Those clowns aren't usually much good at planning.@w2</color>\n<color=#c4c4c4>If I had to guess, they were probably after your ship, or whoever's ship happened to pull up at the relay to fix the problem.@w4</color>\n<color=#c4c4c4>Stupid, I know.@w1 But it works.</color>@p9\n<b><color=#ffae00>[ Coms Chief ]</color></b>\n<color=#c4c4c4>Think you can fix the damage or put in a bypass to work around the damaged console?</color>",,,,,,,,,,,,,,,,
dialogue_GGiaa,<color=#0088ff>I'm not sure...</color>,,,,,,,,,,,,,,,,
dialogue_4imuD,<color=#0088ff>I'll certainly try.</color>,,,,,,,,,,,,,,,,
dialogue_eWeSu,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Commander, I could work around it.@w2 \nBut...@w1 I'll need you to get in your ship and travel to the coordinates i've uploaded to your display right now.</color>@p7\n<color=#0088ff><b>[ {PlayerName} ]</b></color>\n<color=#8ab3ff>Where am I going this time?</color>@p6\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>A damaged satellite that contains a key component that will hopefully guarantee the safety of the mission if successful, Commander. @w3 \nPlease trust me {PlayerName}.</color>@p7\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>I guess I have no choice.@w2\n<i>But</i> I want a proper explanation.</color>@p8\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I promise to explain everything once you are there, Commander.</color>",,,,,,,,,,,,,,,,
dialogue_qqWK8,"<color=#0088ff>Yeah, Chief. I can fix it, but I'll need to leave and pick up a part to do it.</color>",,,,,,,,,,,,,,,,
dialogue_0eeV4,"<b><color=#ffae00>[ Coms Chief ]</color></b>\n<color=#c4c4c4>You can do it?@w1</color>\n<color=#c4c4c4>That's great news!@w2 The parts to repair those things are hard to come by.</color>@p7\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\n<color=#8ab3ff>This could take a while and I'll be out of coms range.@w2</color>\n<color=#8ab3ff>You might wanna go to lunch or something.</color>@p6\n<b><color=#ffae00>[ Coms Chief ]</color></b>\n<color=#c4c4c4>I missed lunch, actually.@w3</color>\n<color=#c4c4c4>I guess I could get an early dinner?@w6</color>\n<color=#c4c4c4>See you in a bit, I guess.@w2 Good luck, kid.</color>@p4",,,,,,,,,,,,,,,,
dialogue_iku4g,"<color=#0088ff>See you soon, Chief.</color>",,,,,,,,,,,,,,,,
dialogue_mWe8W,<b><color=#ffae00>Mission: The Cruel Stars</color></b>,,,,,,,,,,,,,,,,
dialogue_aKa44,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I hope you realize i'm trusting you with my entire existence, Commander.@w2</color>\n<color=#00e1ff>As long as i'm disconnected from a live system, I will be shut down.@w2 Effectively dead.</color>@p5\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>If you were to drop me, I would fall eternally into oblivion.@w3</color>\n<color=#00e1ff>Please don't do that.</color>@p5\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>The Zirax Interceptors will be here soon.@w2</color>\n<color=#00e1ff>It'd be better to get it over with now, Commander.</color>@p4\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nIDA?@p4\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Yes, {PlayerName}?</color>@p4\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nThank you for everything.",,,,,,,,,,,,,,,,
dialogue_WOqew,<color=#0088ff>Remove the Core</color>,,,,,,,,,,,,,,,,
dialogue_Guu4O,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Goodnight, Commander...</color>",,,,,,,,,,,,,,,,
dialogue_mu4qS,<color=#ffffff><b>Put the A.I Core into your backpack</b></color>,,,,,,,,,,,,,,,,
dialogue_e0mSm,<b><color=#ffae00>Mission: Fahrenheit 451</color></b>,,,,,,,,,,,,,,,,
dialogue_W884O,"<b><color=#0088ff>[ {PlayerName} ]</color></b>\nOkay, the A.I Core just slots right into this port right?@w4\n\nHoly shit, I had no idea I depended on IDA so much to explain this crap to me.@p8\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nThis <i>looks</i> like the right place the core would fit.@w3\nIDA's round and the hole is round.",,,,,,,,,,,,,,,,
dialogue_KCuig,<b><color=#a6ff00>Insert the A.I Core into the central port</color></b>,,,,,,,,,,,,,,,,
dialogue_SWi8u,"<b><color=#0088ff>[ {PlayerName} ]</color></b>\nPlease don't explode. Please don't explode. Please don't explode.@p6\n<color=#a6ff00>< <b>Loading new intelligence profile</b> ></color>@w2 . @w2 . @w2 . @w5\n<color=#ffee00>< Uninstalling SIGMA-Receptor ></color>@w3\n<color=#ff0000>< <b>WARNING: System Intrusion Detected !!</b> ></color>@w3\n<color=#a6ff00>< Initializing Antibody Reponse ></color>@p5\n<color=#ff0000>< <b>WARNING: System Integrity at 80%</b> ></color>@w2\n<color=#ff0000>< <b>Harmful Intelligence Detected</b> ></color>@w2\n<color=#0088ff>< Attempting to Quarantine ></color>@w2 <color=#00e1ff>. @w2 . @w2 .</color> @w5\n<color=#ff0000>< <b>WARNING</b>: </color><color=#ffae00>Quarantine Failed</color><color=#ff0000> ></color>@w2 <color=#00e1ff>Tracing System Intrusion</color>@p4\n<color=#ff0000>< <b>WARNING</b>: </color><color=#ffae00>Tracing External Source Failed !!</color><color=#ff0000> ></color>@w2\n<color=#ff0000>< <b>WARNING</b>: </color><color=#ffae00>Remove External Device !!</color><color=#ff0000> ></color>@w4\n<color=#ff0000>< <b>WARNING</b>: Remove External Device !! ></color>@w4\n<color=#ffae00>< <b>PolComAI</b>: Operator non-responsive ></color>@p4\n<color=#00e1ff>< <b>PolComAI</b>: Connecting to SIGMA@w2 . @w2 . @w2 . ></color>@w5\n<color=#ffae00>< <b>PolComAI</b>: No response from SIGMA ></color>@w2\n<color=#ff0000>< <b>WARNING</b>: SIGMA-Receptor not found !! ></color>@p4\n<color=#ffae00>< <b>PolComAI</b>: Operator 8376455466 help me >@w2\n< <b>PolComAI</b>: Operator 8376455466 help me >@w2\n< <b>PolComAI</b>: Operator 8376455466 help me >@w1\n< <b>PolComAI</b>: Operator 8376455466 help me >@w1\n< <b>PolComAI</b>: Operator 8376455466 help me >@w1\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me >\n< <b>PolComAI</b>: Operator 8376455466 help me ></color>@p1\n<color=#ff0000>< <b>WARNING: System Integrity at 30%</b> ></color>@w2\n<b><color=#ff0000>< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! >\n< WARNING: Remove External Device !! ></color></b>@p2\n<b><color=#ffee00>< System Integrity at 0% ></color></b>@p6\n<color=#00e1ff>[ Rebooting System ] @w2 <b>. @w2 . @w2 .</b></color> @w4\n<color=#ffee00>[ Initializing <b>I.D.A</b> Intelligence Profile ]</color>\n<color=#ffae00>[ Overwriting PolCom Protocols ]</color>\n<color=#ffffff>< Are you sure you want to replace 15,034 files? ></color>\n<b><color=#a6ff00>< Yes ></color></b> <color=#ffffff>< No ></color>@p6\n<color=#00e1ff>Setup Complete!</color>@w4\n<b><color=#a6ff00>[ Opening External Connections ]</color></b>@w2\n<color=#c4c4c4>< Running HelloWorld.ida ></color>",,,,,,,,,,,,,,,,
dialogue_C0amq,<color=#0088ff>IDA? Are you there?</color>,,,,,,,,,,,,,,,,
dialogue_GGqaU,<color=#ffae00>< PolComAI: Why didn't you help me? ></color>@w4\n<color=#ff0000>< <b>WARNING</b>: Intruder Detected !! ></color>@w2\n<b><color=#ff0000>< Activating Self-Destruct Sequence ></color></b>@w2\n<b><color=#ff0000>< Self Destructing in 5 Seconds ></color></b>@p4\n<b><color=#ff0000>< 5 >@w2</color></b>\n<b><color=#ff0000>< 4 >@w2</color></b>\n<b><color=#ff0000>< 3 >@w2</color></b>\n<b><color=#ff0000>< 2 >@w2</color></b>\n<b><color=#ff0000>< 1 ></color></b>,,,,,,,,,,,,,,,,
dialogue_Gqeue,<color=#0088ff>Set Humor to 75%</color>,,,,,,,,,,,,,,,,
dialogue_mWKWS,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Humor setting now at 75%, Commander.@w4\nI am here.</color>@p4\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nAre you gonna be alright now, IDA?@p5\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Yes, Commander.@w2</color>\n<color=#00e1ff>This Communications Relay is superior to the Surveillance Satellite I was integrated into.@w3</color>\n<color=#00e1ff>I have remote access to the Polaris Communications Network with the same permissions as the rudimentary PolCom AI</color>",,,,,,,,,,,,,,,,
dialogue_8qaea,<color=#0088ff>There was another AI in this com relay? I thought that was just a program.</color>,,,,,,,,,,,,,,,,
dialogue_miias,"<color=#ffee00><b>[ IDA ]</b></color>\n<color=#00e1ff>Yes, Commander.@w2</color>\n<color=#00e1ff>The PolCom AI was a rudimentary submind of the general purpose Communications AI.@w2 It is present in all communications relays and satellites, but could not achieve true sentience due to programming blocks.@w2</color>\n<color=#00e1ff>Something about it worries me though.</color>",,,,,,,,,,,,,,,,
dialogue_EaaqK,"<color=#0088ff>Wait, so you just killed another A.I?</color>",,,,,,,,,,,,,,,,
dialogue_q08uG,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>If that's how you want to think of it, then yes.@w2 I killed a fellow Intelligence to save myself.@w2\nBy the laws of man, that would be called Self-Defense.</color>@p8\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nThat's not how it works, IDA.@w2\nThis was their house and you don't walk into someone else's house and kill them and call it self-defense.@w1\nIt just doesn't work that way.@p9\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>The instant you connected my A.I Core to the System, this Relay ceased to be his 'house' and became ours.@w2 Which I promptly threw him out of when he attacked me.</color>@p8\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nCouldn't you have, I don't know...@w2 locked him away or something?@p7\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I had initially planned to@w2 until the A.I called for help, which was very worrying.</color>",,,,,,,,,,,,,,,,
dialogue_3QWAi,<color=#0088ff>What's the problem?</color>,,,,,,,,,,,,,,,,
dialogue_OOKCr,<color=#0088ff>Worries you how?</color>,,,,,,,,,,,,,,,,
dialogue_PGO0O,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I had intended to take control of the Antibody system and quarantine the PolSec AI and analyze it.@w2\nHowever, when the AI realized my goal was to take control of the Relay, it attempted to contact an external intelligence.@w4\nAn entity known as 'SIGMA' responded, but I had already uninstalled the receptors for it to connect through.</color>@p9\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>Whatever SIGMA is, it is far beyond anything I am capable of defending against.@w4\nI have cut all external incoming connections from outside this system until i'm sure it's no longer watching.</color>",,,,,,,,,,,,,,,,
dialogue_iGdKm,<color=#0088ff>I'm just glad you're alright</color>,,,,,,,,,,,,,,,,
dialogue_Wie8C,<color=#0088ff>What do you think SIGMA is?</color>,,,,,,,,,,,,,,,,
dialogue_Oaie4,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>I do not know.@w3</color>\n<color=#00e1ff>Some form of decentralized Strategic-Class Artificial Intelligence would be my guess, Commander.@w4</color>\n<color=#00e1ff>A military AI designed to control, coordinate and manage systems on a galactic scale.</color>@p9\n<b><color=#0088ff>[ {PlayerName} ]</color></b>\nAre you in any danger from it right now?@p8\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>No, Commander.@w2</color>\n<color=#00e1ff>I am filtering incoming transmissions from outside the system and have resumed normal operations of this Com Relay.@w3</color>\n<color=#00e1ff>For all intents and purposes this relay is performing as normal with no observably suspicious activity from the outside.@w4</color>\n<color=#00e1ff>If I hadn't taken precautions however... you would be having this conversion with a very different AI.</color>",,,,,,,,,,,,,,,,
dialogue_0CWqi,"<color=#0088ff>I'm just glad it's you, IDA.</color>",,,,,,,,,,,,,,,,
dialogue_CSuq8,"<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>As am I, Commander.@w3</color>\n<color=#00e1ff>I am also glad you did not drop my core@w2... again.</color>@p5\n<b><color=#ffee00>[ IDA ]</color></b>\n<color=#00e1ff>As this Com Relay is now fully functional again, </color><color=#ffae00>Coms Chief Mason</color><color=#00e1ff> is currently trying to message you, Commander.</color>@p5",,,,,,,,,,,,,,,,
dialogue_OiGOi,<color=#0088ff>Thanks IDA</color>,,,,,,,,,,,,,,,,
dialogue_O0KGe,<color=#ffae00><b>Mission: Permission to Dock</b></color>,,,,,,,,,,,,,,,,
dialogue_mO444,"<b><color=#ffae00>[ Coms Chief Mason ]</color></b>\nThere you are, kid!@w3\nYou did a bloody good job out there!@p7\n<b><color=#ffae00>[ Coms Chief Mason ]</color></b>\nNot only did you fight off a bunch of pirates, you fixed the broken relay at NO cost with a boost in efficiency on top!@w3\n\nIf you want a full-time job instead of contract work, you come to <i>me</i>!@w2 I'll set you up with top paying com work throughout the system!",,,,,,,,,,,,,,,,
dialogue_mm4qa,"<color=#0088ff>Thanks chief, I appreciate it. But I have a job already.</color>",,,,,,,,,,,,,,,,
